country,happiness,income,life expectancy,gini
Switzerland,,,,34.5
Chile,,,,46.0
China,,,,39.1
Cote d'Ivoire,,,,43.0
Cameroon,,,,48.3
"Congo, Dem. Rep.",,,,44.7
"Congo, Rep.",,,,50.7
Colombia,,,,53.0
Comoros,,,,45.1
Cape Verde,,,,42.4
Costa Rica,,,,49.5
Cuba,,,,44.1
Cyprus,,,,32.7
Czech Republic,,,,26.5
Germany,,,,33.5
Djibouti,,,,41.6
Dominica,,,,38.2
Denmark,,,,29.5
Dominican Republic,,,,43.2
Algeria,,,,28.6
Ecuador,,,,47.3
Egypt,,,,32.9
Eritrea,,,,44.0
Spain,,,,36.4
Estonia,,,,31.0
Ethiopia,,,,37.0
Finland,,,,27.3
Fiji,,,,36.3
France,,,,34.1
"Micronesia, Fed. Sts.",,,,40.6
Gabon,,,,37.9
United Kingdom,,,,37.7
Georgia,,,,37.3
Ghana,,,,43.5
Guinea,,,,35.0
Gambia,,,,35.0
Guinea-Bissau,,,,52.8
Equatorial Guinea,,,,37.3
Greece,,,,34.2
Grenada,,,,37.5
Guatemala,,,,49.4
Guyana,,,,45.2
"Hong Kong, China",,,,53.7
Honduras,,,,49.5
Holy See,,,,40.0
Croatia,,,,31.1
Haiti,,,,62.1
Hungary,,,,31.1
Indonesia,,,,40.3
India,,,,38.4
Ireland,,,,32.7
Iran,,,,43.8
Iraq,,,,31.0
Iceland,,,,26.1
Israel,,,,39.8
Italy,,,,37.7
Jamaica,,,,46.0
Jordan,,,,35.4
Japan,,,,34.3
Kazakhstan,,,,29.2
Kenya,,,,42.0
Kyrgyz Republic,,,,31.0
Cambodia,,,,40.9
Kiribati,,,,37.0
St. Kitts and Nevis,,,,36.6
South Korea,,,,32.1
Kuwait,,,,36.1
Lao,,,,38.8
Lebanon,,,,33.1
Liberia,,,,36.8
Libya,,,,39.0
St. Lucia,,,,51.2
Liechtenstein,,,,40.0
Sri Lanka,,,,40.2
Lesotho,,,,46.4
Lithuania,,,,37.0
Luxembourg,,,,35.4
Latvia,,,,35.8
Morocco,,,,40.8
Monaco,,,,34.8
Moldova,,,,27.0
Madagascar,,,,45.4
Maldives,,,,31.3
Mexico,,,,48.0
Marshall Islands,,,,40.3
North Macedonia,,,,34.3
Mali,,,,33.7
Malta,,,,28.7
Myanmar,,,,32.1
Montenegro,,,,37.8
Mongolia,,,,33.5
Mozambique,,,,56.6
Mauritania,,,,32.5
Mauritius,,,,36.8
Malawi,,,,46.5
Malaysia,,,,41.8
Namibia,,,,59.6
Niger,,,,36.0
Nigeria,,,,36.7
Nicaragua,,,,46.3
Netherlands,,,,29.5
Norway,,,,27.6
Nepal,,,,33.2
Nauru,,,,34.1
New Zealand,,,,35.2
Oman,,,,37.9
Pakistan,,,,33.1
Panama,,,,51.2
Peru,,,,43.8
Philippines,,,,43.7
Palau,,,,37.4
Papua New Guinea,,,,42.9
Poland,,,,31.8
North Korea,,,,42.0
Portugal,,,,34.9
Paraguay,,,,47.1
Palestine,,,,34.9
Qatar,,,,34.2
Romania,,,,37.3
Russia,,,,39.7
Rwanda,,,,45.3
Saudi Arabia,,,,36.8
Sudan,,,,35.6
Senegal,,,,41.9
Singapore,,,,40.9
Solomon Islands,,,,38.0
Sierra Leone,,,,37.2
El Salvador,,,,40.1
San Marino,,,,35.0
Somalia,,,,38.6
Serbia,,,,31.7
South Sudan,,,,46.8
Sao Tome and Principe,,,,32.4
Suriname,,,,61.0
Slovak Republic,,,,26.4
Slovenia,,,,25.9
Sweden,,,,31.3
Eswatini,,,,56.1
Seychelles,,,,32.1
Syria,,,,38.8
Chad,,,,45.0
Togo,,,,44.5
Thailand,,,,35.7
Tajikistan,,,,34.1
Turkmenistan,,,,44.7
Timor-Leste,,,,30.3
Tonga,,,,37.6
Trinidad and Tobago,,,,41.8
Tunisia,,,,34.3
Turkey,,,,43.5
Tuvalu,,,,39.1
Taiwan,,,,31.5
Tanzania,,,,42.0
Uganda,,,,44.6
Ukraine,,,,28.2
Uruguay,,,,40.4
United States,,,,44.0
Uzbekistan,,,,35.0
St. Vincent and the Grenadines,,,,38.1
Venezuela,,,,45.1
Vietnam,,,,36.6
Vanuatu,,,,37.6
Samoa,,,,38.7
Yemen,,,,38.5
South Africa,,,,64.9
Zambia,,,,58.9
Zimbabwe,,,,51.8
